round_idx,client_id,selected,is_attacker,train_loss,train_acc,update_norm
15,1,True,False,0.29412610014279683,0.9096666666666666,0.0927944928407669
15,2,True,False,0.30403973857561745,0.9106666666666666,0.1043863594532013
15,3,True,False,0.34164355834325155,0.8923333333333333,0.10078210383653641
15,4,True,False,0.30713171704610187,0.9113333333333333,0.09737800806760788
15,5,True,False,0.28657395684719084,0.9206666666666666,0.08652376383543015
15,6,True,False,0.29146470069885255,0.9156666666666666,0.09998323023319244
15,7,True,False,0.3129904461701711,0.905,0.09734532237052917
15,8,True,False,0.28013841342926027,0.9286666666666666,0.08119150251150131
15,9,True,False,0.33296777399381,0.9013333333333333,0.12596085667610168
15,10,True,False,0.30487282292048135,0.9103333333333333,0.10063639283180237
15,11,True,False,0.2838206771214803,0.9183333333333333,0.09167545288801193
15,12,True,False,0.30156504281361896,0.913,0.08500406891107559
15,13,True,False,0.3216324265003204,0.9013333333333333,0.10525054484605789
15,14,True,False,0.29964510194460553,0.9073333333333333,0.10166926681995392
15,15,True,False,0.31915136019388834,0.908,0.11074738949537277
15,16,True,False,0.26882028150558474,0.9233333333333333,0.08822236210107803
15,17,True,False,0.2718665544986725,0.921,0.08823389559984207
15,18,True,False,0.2991351963678996,0.9143333333333333,0.08042199164628983
15,19,True,False,0.29455118346214293,0.9166666666666666,0.09661443531513214
16,0,True,False,0.27690098532040913,0.921,0.08391959965229034
16,1,True,False,0.28471114818255105,0.9183333333333333,0.09057636559009552
16,2,True,False,0.2887560120423635,0.9076666666666666,0.10395921021699905
16,3,True,False,0.2975231904188792,0.9106666666666666,0.09225063771009445
16,4,True,False,0.2958588458697001,0.913,0.09681759774684906
16,5,True,False,0.2851462644735972,0.92,0.08840493112802505
16,6,True,False,0.2759412163496017,0.9183333333333333,0.08846917748451233
16,7,True,False,0.27812624112764994,0.919,0.09213180840015411
16,8,True,False,0.26670387244224547,0.926,0.08257874846458435
16,9,True,False,0.3379938278992971,0.892,0.1210811659693718
